Emotion,RGB1_R,RGB1_G,RGB1_B,RGB2_R,RGB2_G,RGB2_B,RGB3_R,RGB3_G,RGB3_B
Stylish ,99,63,110 , 242,242,242 , 103,124,100
Urbane, 103,124,100 , 242,242,242 , 98,116,114 
Smart, 103,124,100 , 255,255,255 , 51,71,108
Grand ,191,230,200 , 103,124,100 , 40,0,24  
Interesting ,126,58,88 , 103,124,100 , 198,183,186  
Sober ,115,95,108 , 222,222,222 , 103,124,100
Quiet, 222,222,222 , 153,194,181 , 103,124,100 
Abundant, 242,100,1 , 227,26,42 , 47,105,70
Adult ,215,188,188 , 47,105,70 , 40,0,24
Complex, 187,45,105 , 112,11,1 , 47,105,70
Natural ,112,116,72 , 166,151,51 , 47,105,70 
Tranquil ,89,55,8 , n9 , 47,105,70
Interesting, 166,151,51 , 47,105,70 , 32,10,70  
Intellectual, 47,105,70 , 255,255,255 , 51,71,108  
Quiet, 47,105,70 , 144,193,156 , 121,123,131
Deep, 112,116,72 , 47,105,70 , 1,22,23 
Tropical, 212,0,57 , 255,127,0 , 0,86,48
Wild, 89,55,8 , 227,26,42 , 0,86,48
Ethnic ,105,0,51 , 191,169,11 , 0,86,48
Natural ,208,194,142 , 103,124,100 , 0,86,48 
Decorative, 72,13,104 , 0,86,48 , 186,186,186
Practical, 150,58,4 , 0,0,0 , 0,86,48  
Tranquil, 103,124,100 , 222,222,222 , 0,86,48  
Progressive ,0,86,48 , 1,78,70 , 12,32,120
Sound, 0,86,48 , 130,99,61 , 26,26,26 
Abundant ,229,0,13 , 255,127,0 , 14,57,21
Rich ,138,0,7 , 191,169,11 , 14,57,21
Robust, 0,0,0 , 138,0,7 , 14,57,21
Adult ,14,57,21 , 198,183,186 , 126,58,88 
Untamed, 112,41,3 , 149,78,29 , 14,57,21
Classic ,32,10,70 , 149,78,29 , 14,57,21  
Quiet, 186,186,186 , 116 , 139 , 116 , 14,57,21  
Dignified ,53,21,3 , 186,186,186 , 14,57,21
Practical, 45,0,5 , 138,112,12 , 14,57,21 
Quiet and Sophisticated, 53,21,3 , 127,127,127 , 1,24,10
Placid, 45,0,5 , 145,111,93 , 1,24,10
Heavy ,112,41,3 , 0,0,0 , 1,24,10
Bitter ,1,24,10 , 126,100,12 , 89,55,8 
Conservative, 112,41,3 , 130,99,61 , 1,24,10
Sound ,45,0,5 , 138,112,12 , 1,24,10  
Dignified,26,9,42 , 121,123,131 , 1,24,10  
Strong and Robust, 1,24,10 , 127,127,127 , 0,0,0
Heavy and Deep ,1,24,10 , 112,41,3 , 5,11,48 
Casual ,255,127,0 , 255,242,124 , 1,144,102
Showy ,255,127,0 , 1,144,102 , 212,0,57
Vigorous, 229,0,13 , 0,0,0 , 1,144,102
Agile, 1,144,102 , 255,255,255 , 26, 67, 155
Sporty ,1,144,102 , 255,242,0 , 10,21,82
Active , 255,242,63 , 1,144,102 , 0,0,0  
Progressive, 222,222,222 , 10,21,82 , 1,144,102  
Modern, 1,144,102 , 222,222,222 , 26,26,26
Sharp, 1,144,102 , 255,255,255 , 0,0,0 
Sporty, 229,0,13 , 255,255,255 , 40,163,119
Tropical, 212,0,57 , 153,166,74 , 40,163,119
Provocative, 95,35,141 , 212,0,57 , 40,163,119
Active, 40,163,119 , 255,242,124 , 10,21,82 
Grand ,153,194,181 , 40,163,119 , 192,230,184
Agile ,40,163,119 , 255,255,255 , 12,32,120  
Mysterious, 153,194,181 , 72,13,104 , 57,89,153  
Smart ,40,163,119 , 222,222,222 , 51,71,108
Sharp ,40,163,119 , 255,255,255 , 10,21,82 
Pretty ,251,167,89 , 255,242,124 , 78,181,135
Enjoyable ,242,100,1 , 255,242,63 , 78,181,135
Tropical, 212,0,57 , 78,181,135 , 255,242,0
Youthful ,179,221,61 , 255,242,124 , 78,181,135 
Young ,78,181,135 , 255,242,124 , 3,115,138
Colourful ,248,117,157 , 78,181,135 , 95,35,141  
Refreshing, 78,181,135 , 255,255,255 , 128,166,206  
Clean and Fresh ,78,181,135 , 255,255,255 , 26,67,155
Progressive,  192,230,184 , 78,181,135 , 26,67,155 
Healthy, 255,242,124 , 255,250,184 , 153,215,179
Clean and Fresh ,52,156,83 , 255,255,255 , 153,215,179
Western, 253,217,205 , 99,63,110 , 153,215,179
Pure, 255,255,255 , 230,245,164 , 78,181,135 
Fresh and Young, 204,236,232 , 153,215,179 , 26,67,155
Cultivated, 153,215,179 , 12,32,120 , 186,186,186  
Neat ,191,230,200 , 255,255,255 , 153,215,179  
Clean ,153,215,179 , 255,255,255 , 153,216,212
Crystalline , 153,215,179 , 255,255,255 , 26,67,155 
Supple ,253,217,205 , 242,242,242 , 191,230,200
Soft ,254,230,194 , BG.Vp , 230,245,164
Gentle, 208,180,137 , 191,230,200 , 255,250,184
Pure, 191,230,200 , 255,255,255 , 217,228,228 
Dreamy ,191,230,200 , 234,216,227 , 166,181,183
Steady, 191,230,200 , 153,216,212 , 32,104,113  
Neat ,191,230,200 , 255,255,255 , 153,215,179  
Clean ,191,230,200 , 255,255,255 , 179,204,206
Crystalline,  153,215,179 , 255,255,255 , 128,166,206 
Pretty ,251,174,193 , 255,250,184 , 144,193,156
Tender ,251,174,193 , 249,223,226 , 144,193,156
Lighthearted, 153,166,74 , 144,193,156 , 255,242,124
Peaceful, 208,180,137 , 255,250,184 , 144,193,156 
Friendly, 215,144,92 , 208,194,142 , 144,193,156
Stylish ,99,63,110 , 161,161,161 , 144,193,156  
Neat, 144,193,156 , 255,255,255 , 153,216,212  
Simple, 144,193,156 , 255,255,255 , 123,150,181
Crystalline,  255,255,255 , 144,193,156 , 128,166,206 
Casual ,234,124,104 , 255,242,124 , 90,177,132
Amusing, 248,117,157 , 255,242,63 , 90,177,132
Mysterious, 187,45,105 , 90,177,132 , 95,35,141
Dewy ,191,230,200 , 90,177,132 , 32,104,113 
Fresh and Young, 255,255,255 , 191,230,200 , 90,177,132
Cultivated, 191,230,200 , 150,58,4 , 51,71,108  
Fresh ,171,181,136 , 255,255,255 , 90,177,132  
Steady, 204,236,232 , 90,177,132 , 51,71,108
Western , 90,177,132 , 255,255,255 , 51,71,108 
Quiet, 192,230,184 , 153,194,181 , 116,139,116
Sober ,130,99,61 , 186,186,186 , 116,139,116
Urbane, 116,139,116 , 255,250,184 , 4,36,65
Dewy, 204,236,232 , 153,194,181 , 116,139,116 
Noble ,99,63,110 , 222,222,222 , 116,139,116
Distinguished,116,139,116 , 99,63,110 , 0,0,0  
Chic ,116,139,116 , 242,242,242 , 127,127,127  
Aqueous ,186,186,186 , 116,139,116 , 82,82,82
Intellectual , 116,139,116 , 222,222,222 , 4,36,65 
Ethnic, 126,58,88 , 37,95,81 , 191,169,11
Decorative, 32,10,70 , 187,45,105 , 37,95,81
Elaborate, 138,0,7 , 32,10,70 , 37,95,81
Exact ,37,95,81 , 161,161,161 , 5,11,48 
Mysterious ,95,35,141 , 187,45,105 , 37,95,81
Complex ,51,73,18 , 99,63,110 , 37,95,81  
Smart ,37,95,81 , 255,255,255 , 12,32,120  
Modern, 37,95,81 , 255,255,255 , 26,9,42
Magnificent ,153,194,181 , 37,95,81 , 4,36,65 
Casual, 138,0,7 , 242,242,242 , 1,78,70
Friendly ,215,144,92 , 1,78,70 , 166,151,51
Wild ,1,78,70 , 229,0,13 , 45,0,5
Smart ,1,78,70 , 198,183,186 , 51,71,108 
Elaborate ,112,116,72 , 1,78,70 , 32,10,70
Ethnic, 112,11,1 , 191,169,11 , 1,78,70  
Tranquil ,153,194,181 , 204,236,232 , 1,78,70  
Intellectual ,1,78,70 , 255,255,255 , 12,32,120
Deep, 33,36,10 , 96,122,38 , 1,78,70 
Ethnic, 126,100,12 , 138,0,7 , 1,47,45
Diligent ,1,47,45 , 191,169,11 , 1,47,45
Intrepid 112,41,3 , 130,99,61 , 1,47,45
Untamed, 1,47,45 , 191,169,11 , 0,0,0 
Elaborate, 73,0,35 , 191,169,11 , 1,47,45
Conservative, 112,41,3 , 130,99,61 , 1,47,45  
Exact ,98,116,114 , 1,47,45 , 127,127,127  
Metallic ,0,0,0 , 186,186,186 , 1,47,45
Majestic ,32,10,70 , 0,0,0 , 1,47,45 
Calm ,208,180,137 , 53,32,6 , 1,22,23
Classic ,45,0,5 , 145,111,93 , 1,22,23
Untamed ,1,22,23 , 138,0,7 , 0,0,0
Magnificent 116,139,116 , 37,95,81 , 5,11,48 
Sturdy 26,9,42 , 130,99,61 , 1,22,23
Heavy and Deep, 1,22,23 , 89,55,8 , 1,22,23  
Masculine, 1,22,23 , 204,236,232 , 51,71,108  
Placid ,53,32,6 , 127,127,127 , 1,22,23
Serious, 112,41,3 , 1,22,23 , 0,0,0 
Showy, 229,0,13 , 255,242,0 , 3,115,138
Vivid, 212,0,57 , 3,115,138 , 255,242,0
Active, 229,0,13 , 0,0,0 , 3,115,138
Sporty ,229,0,13 , 255,255,255 , 3,115,138 
Provocative, 95,35,141 , 212,0,57 , 3,115,138
Bold ,212,0,57 , 3,115,138 , 0,0,0l  
Young ,78,181,135 , 255,242,124 , 3,115,138  
Speedy ,26,67,155 , 255,255,255 , 3,115,138
Sharp, 3,115,138 , 255,255,255 , 0,0,0 
Young ,255,242,124 , 255,255,255l , 42,135,145
Casual ,229,0,13 , 255,242,63 , 42,135,145
Sporty ,212,0,57 , 255,255,255 , 42,135,145
Fresh and Young ,204,236,232 , 153,215,179 , 42,135,145 
Noble ,95,35,141 , 187,45,105 , 37,95,81
Smart ,12,32,120 , 255,255,255 , 42,135,145  
Masculine, 153,216,212 , 42,135,145 , 10,21,82  
Simple ,179,204,206 , 255,255,255 , 42,135,145
Modern ,42,135,145 , 222,222,222l , 0,0,0 
Open ,255,127,0 , 255,250,184 , 103,195,183
Enjoyable, 248,117,157 , 103,195,183 , 255,242,63
Striking ,229,0,13 , 0,0,0 , 103,195,183
Fresh ,179,221,61 , 255,255,255 , 103,195,183 
Youthful, 78,181,135 , 191,230,200 , 103,195,183
Agile, 0,0,0 , 255,255,255 , 103,195,183  
Refreshing, 145,209,127 , 255,255,255 , 103,195,183  
Crystalline, 128,166,206 , 255,255,255 , 103,195,183
Speedy ,128,166,206 , 255,255,255 , 103,195,183 
Peaceful, 253,292,245, 255,250,184 , 153,216,212
Cute ,251,167,89 , 255,242,124 , 153,216,212
Childlike ,251,103,89 , 255,250,184 , 153,216,212
Clear ,192,230,184 , 255,255,255 , 153,216,212 
Simple ,98,116,114 , 255,255,255 , 153,216,212
Clean and Fresh, 78,181,135 , 255,255,255 , 153,216,212  
Crystalline, 204,236,232 , 255,255,255 , 153,216,212  
Clean ,179,204,206 , 255,255,255 , 153,216,212
Smart ,128,166,206 , 255,255,255l , 153,216,212 
Charming, 251,174,193 , 249,223,226 , 204,236,232
Dreamy ,251,174,193 , 204,236,232 , 255,250,184
Pure and Simple, 207,179,215 , 204,236,232 , 254,230,194
Romantic ,249,223,226 , 255,255,255 , 204,236,232 
Crystalline ,204,236,232 , 255,255,255 , 153,216,212
Fresh and Young 78,181,135 , 204,236,232 , 255,255,255  
Clear 153,215,179 , 255,255,255 , 204,236,232  
Pure 204,236,232 , 255,255,255 , 128,166,206
Refreshing ,204,236,232 , 255,255,255 , 103,195,183 
Delicate ,254,230,194 , 198,183,186 , 153,194,181
Polished ,115,95,108 , 255,255,255 , 153,194,181
Eminent, 72,13,104 , 153,194,181 , 5,11,48
Salty, 166,151,51 , 255,255,255 , 153,194,181 
Quiet, 222,222,222 , 153,194,181 , 103,124,100
Urbane, 153,194,181 , 217,228,228 , 91,165,159  
Pure and Simple, 153,194,181 , 217,228,228 , 91,165,159  
Dewy, 204,236,232 , 153,194,181 , 161,161,161
Distinguished,204,236,232 , 255,255,255 , 103,195,183 
Peaceful ,153,193,151 , 255,250,184 , 91,165,159
Noble and Elegant, 106,51,135 , 91,165,159 , 198,183,186
Stylish, 0,0,0 , 99,63,110 , 91,165,159
Interesting ,171,181,136 , 165,123,177 , 91,165,159 
Urbane ,91,165,159 , 242,242,242 , 51,71,108
Intellectual ,123,150,181 , 51,71,108 , 91,165,159  
Smart ,255,250,184 , 91,165,159 , 5,11,48  
Pure and Simple, 153,194,181 , 217,228,228 , 91,165,159
Precise, 91,165,159 , 166,181,183 , 5,11,48 
Peaceful, 98,116,114 , 222,222,222 , 82,82,82
Quiet , 222,222,222 , 98,116,114 , 51,71,108
Composed ,204,236,232 , 98, 116 , 114 , 26,26,26
Exact ,98,116,114 , 51,71,108 , 51,51,51 
Sublime, 26,26,26 , 98,116,114 , 12,32,120
Distinguished, 153,194,181 , 98,116,114 , 51,51,51  
Dignified, 32,10,70 , 98,116,114 , 1,24,10  
Solemn, 127,127,127 , 5,11,48 , 98,116,114
Authoritative, 26,26,26 , 98,116,114 , 0,0,0 
Sober, 179,204,206 , 121,123,131 , 32,104,113
Exact ,82,82,82 , 116,139,116 , 32,104,113
Practical ,130,99,61 , 32,104,113 , 26,26,26
Urbane ,127,127,127 , 51,71,108I , 32,104,113 
Composed,222,222,222 , 32,104,113 , 0,0,0
Masculine, 33,36,10 , 161,161,161 , 32,104,113  
Rational ,32,104,113 , 242,242,242 , 12,32,120  
Modern, 32,104,113 , 255,255,255 , 26,26,26
Precise ,32,104,113 , 166,181,183 , 10,21,82 
Ethnic ,138,0,7 , 5,60,88 , 191,169,11
Mysterious, 212,0,57 , 5,60,88 , 72,13,104
Intrepid ,5,60,88 , 126,100,12 , 5,11,48
Composed ,242,242,242 , 121,123,131 , 5,60,88 
Precise ,222,222,222 , 98,116,114 , 5,60,88
Precious, 72,13,104 , 242,242,242 , 5,60,88  
Agile ,5,60,88 , 255,255,255 , 128,166,206  
Masculine, 10,21,82 , 217,228,228 , 5,60,88
Metallic ,26,9,42 , 242,242,242 , 5,60,88 
Dapper ,0,0,0 , 130,99,61 , 4,36,65
Sporty ,255,242,0 , 255,255,255 , 4,36,65
Intellectual ,4,36,65 , 222,222,222 , 116,139,116
Conservative ,112,41,3 , 138,112,12 , 4,36,65 
Urbane, 121,123,131 , 166,181,183 , 4,36,65
Rational, 51,71,108 , 166,181,183 , 4,36,65  
Dignified ,45,0,5 , 127,127,127 , 4, 36, 65  
Masculine ,4,36,65 , 222,222,222 , 57,89,153
Earnest, 127,127,127 , 242,242,242 , 4,36,65
Practical, 2,22,35 , 138,112,12 , 32,104,113
Robust, 53,32,6 , 138,0,7 , 2,22,35
Strong and Robust, 26,26,26 , 73,0,35 , 2,22,35
Sublime ,130,99,61 , 99,63,110 , 2,22,35 
Dapper ,53,32,6 , 130,99,61 , 2,22,35
Heavy and Deep, 1,22,23 , 89,55,8 , 2,22,35  
Progressive ,2,22,35 , 217,228,228 , 128,166,206  
Precise, 2,22,35 , 115,95,108 , 91,165,159
Solemn ,2,22,35 , 115,95,108 , 0,0,0
Lively ,229,0,13 , 153,166,74 , 26,67,155
Clean and Fresh ,78,181,135 , 255,255,255 , 26,67,155
Vigorous ,229,0,13 , 26,67,155 , 255,242,0
Fleet, 255,242,63 , 255,255,255 , 26,67,155 
Striking ,212,0,57 , 255,242,0 , 26,67,155
Intense, 1,22,23 , 255,242,0 , 26,67,155  
Nimble ,103,195,183 , 255,255,255 , 26,67,155  
Progressive ,78,181,135 , 192,230,184 , 26,67,155
Sharp ,0,0,0 , 255,255,255 , 26,67,155
Youthful, 255,242,124 , 255,255,255 , 57,89,153
Young ,255,242,124 , 153,215,179 , 57,89,153
Steady ,145,209,127 , 255,250,184 , 57,89,153
Neat ,255,255,255 , 191,230,200 , 26,67,155 
Urbane ,123,150,181 , 217,228,228 , 57,89,153
Masculine, 166,181,183 , 57,89,153 , 0,0,0  
Pure ,57,89,153 , 255,255,255 , 103,195,183  
Refreshing, 57,89,153 , 255,255,255 , 103,195,183
Intellectual, 0,0,0 , 255,255,255 , 57,89,153
Youthful, 255,242,124 , 255,255,255 , 128,166,206
Pure ,192,230,184 , 255,255,255 , 128,166,206
Clear ,153,216,212 , 255,255,255 , 128,166,206
Fresh ,179,221,61 , 255,255,255 , 128,166,206 
Fresh and Young,  204,236,232 , 153,215,179 , 128,166,206
Crystalline ,204,236,232 , 255,255,255 , 128,166,206  
Refreshing ,78,181,135 , 255,255,255 , 128,166,206  
Smart ,42,135,145 , 255,255,255 , 128,166,206
Progressive, 2,22,35 , 217,228,228 , 128,166,206
Casual ,251,103,89 , 255,242,63 , 179,204,206
Refined, 242,242,242 , 204,236,232 , 179,204,206
Clean ,179,204,206 , 255,255,255 , 153,216,212
Pure and Elegant, 179,204,206 , 255,255,255 , 99,63,110 
Polished  ,121,123,131 , 242,242,242 , 179,204,206
Refreshing, 179,204,206 , 217,228,228 , 153,215,179  
Distinguished, 10,21,82 , 179,204,206 , 99,63,110  
Sober ,179,204,206 , 121,123,131 , 32,104,113
Simple ,179,204,206 , 255,255,255 , 42,135,145
Emotional, 215,188,188 , 217,228,228 , 242,242,242
Romantic ,234,216,227, 217,228,228, 192,230,184 
Dreamy ,251,174,193, 254,230,194, 217,228,228 
Light ,255,250,184, 255,255,255, 217,228,228 
Polished, 121,123,131, 198,183,186, 217,228,228 
Sedate ,186,186,186, 115,95,108, 217,228,228 
Pure, 217,228,228, 255,255,255, 204,236,232 
Pure and Simple ,217,228,228, 153,194,181, 217,228,228 
Composed ,10,21,82, 217,228,228, 98,116,114
Delicate ,166,181,183, 198,183,186, 242,242,242 
Fashionable, 192,230,184, 166,181,183, 161,161,161 
Polished ,166,181,183, 242,242,242, 153,194,181 
Subtle ,234,216,227, 215,188,188, 166,181,183 
Urbane ,121,123,131, 222,222,222, 166,181,183 
Quiet ,242,242,242, 166,181,183, 161,161,161 
Noble and Elegant, 133,95,104, 166,181,183, 26,26,26 
Exact ,82,82,82, 166,181,183, 51,71,108 
Precise, 91,165,159, 166,181,183, 2,22,35
Pure and Elegant, 204,236,232, 207,179,215, 123,150,181
Refined, 115,95,108, 222,222,222, 123,150,181 
Subtle and Mysterious, 82,82,82, 123,150,181, 123,150,181 
Simple, 222,222,222, 255,255,255, 123,150,181 
Urbane, 198,183,186, 123,150,181, 82,82,82 
Smart, 51,51,51, 217,228,228, 123,150,181 
Aristocratic, 2,22,35, 106,51,135, 123,150,181 
Crystalline, 204,236,232, 255,255,255, 123,150,181 
Intellectual, 26,26,26, 123,150,181, 57,89,153 
Refined, 215,188,188, 186,186,186, 121,123,131 
Graceful, 198,183,186, 165,123,177, 121,123,131 
Aqueous, 121,123,131, 179,204,206, 222,222,222 
Chic, 145,111,93, 222,222,222, 121,123,131 
Polished, 217,228,228, 198,183,186, 121,123,131 
Sober, 115,95,108, 222,222,222, 121,123,131 
Majestic, 32,10,70, 121,123,131, 26,26,26 
Urbane, 153,194,181, 121,123,131, 82,82,82 
Precise, 121,123,131, 222,222,222, 10,21,82
Progressive, 186,186,186, 255,250,184, 51,71,108
Steady, 51,71,108 , 192,230,184, 52,156,83
Western, 153,215,179, 255,255,255, 51,71,108 
Chic, 115,95,108, 186,186,186, 51,71,108
Quiet, 222,222,222 , 98,116,114, 51,71,108
Modern, 51,71,108 , 234,216,227, 51,51,51 
Intellectual, 123,150,181, 51,71,108, 91,165,159 
Cultivated, 51,71,108, 186,186,186 , 10,21,82
Masculine, 26,26,26, 255,255,255, 51,71,108I
Lively, 255,127,0, 12,32,120, 229,0,13 
Vigorous, 229,0,13, 255,242,0, 12,32,120 
Sublime, 12,32,120, 98,116,114, 26,26,26
Smart, 116,139,116, 255,255,255, 12,32,120 
Composed, 12,32,120, 161,161,161, 5,11,48 
Masculine, 26,9,42, 242,242,242, 12,32,120
Agile, 12,32,120, 255,255,255, 103,195,183 
Rational, 12,32,120, 242,242,242, 32,104,113 
Earnest, 26,26,26, 186,186,186, 12,32,120
Distinguished, 99,63,110, 179,204,206, 10,21,82
Eminent, 153,194,181, 99,63,110, 10,21,82
Earnest, 112,41,3, 161,161,161, 10,21,82
Intellectual, 10,21,82, 161,161,161 , 217,228,228 
Precise, 10,21,82, 222,222,222, 121,123,131 
Masculine, 5,60,88, 217,228,228 , 10,21,82
Agile, 255,242,0, 242,242,242, 10,21,82 
Sharp, 10,21,82, 255,255,255, 78,181,135 
Formal, 0,0,0, 186,186,186, 10,21,82
Dignified, 53,32,6, 130,99,61, 5,11,48 
Traditional, 112,41,3, 5,11,48, 112,116,72 
Metallic, 5,11,48, 242,242,242, 127,127,127
Sturdy, 5,11,48, 150,58,4, 0,0,0 
Solemn, 127,127,127, 5,11,48, 98,116,114 
Proper, 5,11,48, 242,242,242, 12,32,120
Strong and Robust, 45,0,5, 127,127,127, 5,11,48 
Heavy and Deep, 5,11,48, 112,41,3, 26,26,26 
Authoritative, 5,11,48, 98,116,114, 26,26,26
Dazzling, 255,127,0, 95,35,141, 255,242,0 
Glossy, 251,103,89, 212,0,57, 95,35,141 
Amusing, 248,117,157, 95,35,141, 140,201,25 
Showy, 212,0,57, 95,35,141, 255,242,0 
Fascinating, 229,0,13, 251,167,89, 95,35,141 
Mysterious, 187,45,105, 90,177,132, 95,35,141 
Decorative, 95,35,141, 191,169,11, 138,0,7 
Brilliant, 207,179,215, 248,117,157, 95,35,141 
Provocative, 212,0,57, 116,196,118, 95,35,141
Alluring, 187,45,105, 251,174,193, 106,51,135 
Glossy, 215,188,188, 202,130,144, 106,51,135 
Noble and Elegant, 106,51,135, 179,204,206, 121,123,131 
Brilliant, 251,103,89, 187,45,105, 106,51,135 
Mysterious, 187,45,105, 145,209,127, 106,51,135 
Eminent, 106,51,135, 166,181,183, 10,21,82 
Elaborate, 138,112,12, 112,11,1, 106,51,135 
Aristocratic, 115,95,108, 106,51,135, 26,26,26 
Precious, 10,21,82, 106,51,135, 0,0,0
Colourful, 255,242,63, 251,103,89, 177,137,193 
Amusing, 251,103,89, 179,221,61, 177,137,193
Refined, 177,137,193, 222,222,222, 179,204,206 
Brilliant, 177,137,193, 207,179,215, 106,51,135 
Sleek, 207,179,215, 177,137,193, 121,123,131
Glossy, 212,0,57, 177,137,193, 95,35,141 
Pure and Elegant , 177,137,193, 207,179,215, 217,228,228
Modern 255,255,255, 177,137,193, 0,0,0
Alluring 187,45,105 , 177,137,193 , 26,9,42
Tender, 251,174,193, 253,217,205, 207,179,215 
Feminine, 202,130,144, 251,167,89, 234,216,227
Sweet and Dreamy, 251,167,89, 249,223,226, 207,179,215 
Emotional, 249,223,226, 207,179,215, 115,95,108
Pure and Simple, 207,179,215, 242,242,242, 166,181,183 
Pure and Elegant, 234,216,227, 207,179,215, 123,150,181
Fascinating, 207,179,215, 248,117,157, 99,63,110 
Brilliant, 249,223,226, 207,179,215, 115,95,108 
Sleek, 207,179,215, 121,123,131, 198,183,186
Soft, 210,168,159, 234,216,227, 191,230,200 
Sweet and Dreamy, 253,192,145, 251,174,193, 234,216,227 
Feminine, 202,130,144, 234,216,227, 207,179,215
Romantic, 234,216,227, 255,250,184, 204,236,232 
Cultured, 215,188,188, 234,216,227, 198,183,186 
Delicate, 234,216,227, 186,186,186, 171,181,136 
Tender, 234,216,227, 198,183,186, 166,181,183 
Dreamy, 191,230,200, 234,216,227, 166,181,183 
Subtle, 234,216,227, 198,183,186, 166,181,183
Gentle and Elegant, 210,168,159, 249,223,226, 198,183,186 
Elegant, 249,223,226, 198,183,186, 133,95,104 
Graceful, 249,223,226, 198,183,186, 133,95,104 
Sedate, 198,183,186, 215,188,188, 166,181,183 
Cultured, 115,95,108, 198,183,186, 198,183,186 
Subtle, 215,188,188, 115,95,108, 198,183,186 
Delicate, 234,216,227, 198,183,186, 166,181,183 
Noble, 198,183,186, 204,236,232, 121,123,131 
Chic, 198,183,186, 204,236,232, 121,123,131
Feminine, 251,174,193, 254,230,194, 165,123,177 
Tender, 202,130,144, 234,216,227, 165,123,177 
Brilliant, 187,45,105, 165,123,177, 99,63,110
Emotional, 249,223,226, 191,230,200, 165,123,177 
Graceful, 251,174,193, 165,123,177, 115,95,108 
Elegant, 121,123,131, 165,123,177, 215,188,188
Pure and Simple, 165,123,177, 242,242,242, 91,165,159 
Fashionable, 115,95,108, 165,123,177, 191,230,200 
Interesting, 171,181,136, 165,123,177, 116,139,116
Graceful, 234,124,104, 215,188,188, 115,95,108 
Japanese, 112,116,72, 208,194,142, 115,95,108 
Subtle, 138,112,12, 115,95,108, 166,181,183
Elegant, 115,95,108, 165,123,177, 222,222,222 
Fashionable, 215,188,188, 115,95,108, 98,116,114 
Sleek, 126,56,88, 115,95,108, 186,186,186 
Refined, 115,95,108, 198,183,186, 123,150,181 
Sedate, 115,95,108, 242,242,242, 161,161,161 
Subtle and Mysterious, 115,95,108, 186,186,186, 26,26,26
Stylish, 166,151,51, 99,63,110, N 7 
Brilliant, 187,45,105, 165,123,177, 99,63,110 
Ethnic, 251,167,89, 99,63,110, 96,122,38
Distinguished, 116,139,116, 222,222,222, 99,63,110 
Aristocratic, 99,63,110, 121,123,131, 10,21,82 
Precious, 127,127,127, 0,0,0, 99,63,110
Noble and Elegant, 198,183,186, 123,150,181, 99,63,110 
Eminent, 123,150,181, 99,63,110, 0,0,0 
Sublime, 222,222,222 ,99,63,110, 26,26,26
Colourful, 212,0,57, 255,242,0, 72,13,104 
Luxurious, 138,0,7, 191,169,11, 72,13,104 
Gorgeous, 105,0,51, 191,169,11, 72,13,104
Brilliant, 187,45,105, 222,222,222, 72,13,104 
Mellow, 138,0,7, 138,101,97, 72,13,104 
Alluring, 187,45,105, 72,13,104, 126,56,88
Eminent, 72,13,104, 153,194,181, 5,11,48 
Extravagant, 112,11,1, 126,100,12, 72,13,104 
Precious, 72,13,104, 145,111,93, 0,0,0
Mellow, 105,0,51, 138,112,12, 32,10,70 
Elaborate, 138,0,7, 32,10,70, 37,95,81 
Decorative, 32,10,70, 187,45,105, 37,95,81
Tasteful, 89,55,8, 138,101,97, 32,10,70 
Classic, 149,78,29, 89,55,8, 32,10,70 
Traditional, 32,10,70, 150,58,4, 51,73,18
Modest, 32,10,70, 112,116,72, 186,186,186 
Sublime, 98,116,114, 32,10,70, 222,222,222 
Majestic, 32,10,70, 121,123,131, 0,0,0
Alluring, 187,45,105, 177,137,193, 26,9,42 
Rational, 222,222,222, 123,150,181, 26,9,42
Modern, 37,95,81, 255,255,255, 26,9,42 
Conservative, 53,21,3, 186,186,186, 26,9,42 
Dignified, 98,116,114, 1,24,10, 26,9,42 
Masculine, 5,11,48, 255,255,255 
Sturdy, 26,9,42, 130,99,61, 1,22,23 
Serious, 26,26,26, 89,55,8, 26,9,42 
Solemn, 26,9,42, 161,161,161, 51,51,51
Dazzling, 212,0,57, 255,255,255, 255,242,0 
Tropical, 212,0,57, 153,166,74, 40,163,119 
Dynamic, 212,0,57, 255,242,0, 0,0,0
Vivid, 212,0,57, 17,147,82, 255,242,0 
Showy, 212,0,57, 95,35,141, 255,242,0 
Fiery, 140,201,25, 212,0,57, 0,0,0
Flamboyant, 212,0,57, 255,242,0, 3,115,138 
Colourful, 191,169,11, 212,0,57, 72,13,104 
Provocative, 95,35,141, 212,0,57, 40,163,119
Abundant, 229,0,13, 255,127,0, 187,45,105 
Glossy, 248,117,157, 95,35,141, 187,45,105 
Amusing, 187,45,105, 255,242,0, 95,35,141 
Brilliant, 187,45,105, 251,174,193, 99,63,110 
Alluring, 212,0,57, 72,13,104, 187,45,105 
Decorative, 99,63,110, 0,0,0, 187,45,105
Western, 187,45,105, 242,242,242, 91,165,159 
Mysterious, 187,45,105, 145,209,127, 106,51,135 
Complex, 99,63,110, 187,45,105, 5,60,88
Cute, 248,117,157, 255,242,124, 78,181,135 
Happy, 248,117,157, 234,216,227, 229,0,13 
Fascinating, 207,179,215, 248,117,157, 99,63,110
Amusing, 153,166,74, 145,209,127, 248,117,157 
Merry, 248,117,157, 153,166,74, 140,201,25 
Colourful, 248,117,157, 78,181,135, 95,35,141
Childlike, 248,117,157, 255,242,124, 153,216,212 
